Index,Value
0,0
1,0.0647029
2,0.129406
3,0.194109
4,0.258812
5,0.319105
6,0.379399
7,0.439693
8,0.499987
9,0.551763
10,0.603539
11,0.655314
12,0.70709
13,0.74682
14,0.78655
15,0.82628
16,0.86601
17,0.890986
18,0.915963
19,0.940939
20,0.965916
21,0.974437
22,0.982958
23,0.991479
24,1
25,0.991485
26,0.98297
27,0.974455
28,0.96594
29,0.940969
30,0.915998
31,0.891027
32,0.866056
33,0.826331
34,0.786606
35,0.746881
36,0.707156
37,0.655384
38,0.603611
39,0.551839
40,0.500067
41,0.439775
42,0.379484
43,0.319193
44,0.258901
45,0.194199
46,0.129497
47,0.0647948
48,9.26536e-005
49,-0.064611
50,-0.129315
51,-0.194018
52,-0.258722
53,-0.319018
54,-0.379314
55,-0.43961
56,-0.499906
57,-0.551686
58,-0.603466
59,-0.655245
60,-0.707025
61,-0.74676
62,-0.786494
63,-0.826229
64,-0.865964
65,-0.890946
66,-0.915928
67,-0.94091
68,-0.965892
69,-0.974419
70,-0.982946
71,-0.991473
72,-1
73,-0.991491
74,-0.982982
75,-0.974473
76,-0.965964
77,-0.940998
78,-0.916033
79,-0.891068
80,-0.866103
81,-0.826382
82,-0.786662
83,-0.746942
84,-0.707221
85,-0.655453
86,-0.603684
87,-0.551916
88,-0.500147
89,-0.439858
90,-0.379569
91,-0.31928
92,-0.258991
93,-0.194289
94,-0.129588
95,-0.0648866
96,-0.000185307
97,0.0645192
98,0.129224
99,0.193928
100,0.258633
101,0.318931
102,0.379229
103,0.439528
104,0.499826
105,0.551609
106,0.603393
107,0.655176
108,0.706959
109,0.746699
110,0.786438
111,0.826178
112,0.865917
113,0.890905
114,0.915893
115,0.94088
116,0.965868
117,0.974401
118,0.982934
119,0.991467
120,1
121,0.991497
122,0.982994
123,0.974491
124,0.965988
125,0.941028
126,0.916068
127,0.891109
128,0.866149
129,0.826433
130,0.786718
131,0.747002
132,0.707287
133,0.655522
134,0.603757
135,0.551992
136,0.500227
137,0.439941
138,0.379654
139,0.319367
140,0.25908
141,0.19438
142,0.129679
143,0.0649785
144,0.000277961
145,-0.0644273
146,-0.129133
147,-0.193838
148,-0.258543
149,-0.318844
150,-0.379144
151,-0.439445
152,-0.499746
153,-0.551533
154,-0.60332
155,-0.655107
156,-0.706894
157,-0.746638
158,-0.786382
159,-0.826127
160,-0.865871
161,-0.890864
162,-0.915857
163,-0.940851
164,-0.965844
165,-0.974383
166,-0.982922
167,-0.991461
168,-1
169,-0.991503
170,-0.983006
171,-0.974509
172,-0.966012
173,-0.941058
174,-0.916103
175,-0.891149
176,-0.866195
177,-0.826485
178,-0.786774
179,-0.747063
180,-0.707352
181,-0.655591
182,-0.60383
183,-0.552069
184,-0.500308
185,-0.440023
186,-0.379739
187,-0.319454
188,-0.25917
189,-0.19447
190,-0.12977
191,-0.0650703
192,-0.000370614
193,0.0643354
194,0.129041
195,0.193748
196,0.258454
197,0.318757
198,0.37906
199,0.439363
200,0.499666
201,0.551456
202,0.603247
203,0.655038
204,0.706828
205,0.746577
206,0.786326
207,0.826076
208,0.865825
209,0.890823
210,0.915822
211,0.940821
212,0.96582
213,0.974365
214,0.98291
215,0.991455
216,1
217,0.991509
218,0.983018
219,0.974527
220,0.966036
221,0.941087
222,0.916139
223,0.89119
224,0.866242
225,0.826536
226,0.78683
227,0.747124
228,0.707418
229,0.65566
230,0.603903
231,0.552145
232,0.500388
233,0.440106
234,0.379823
235,0.319541
236,0.259259
237,0.19456
238,0.129861
239,0.0651622
240,0.000463268
241,-0.0642436
242,-0.12895
243,-0.193657
244,-0.258364
245,-0.318669
246,-0.378975
247,-0.43928
248,-0.499585
249,-0.55138
250,-0.603174
251,-0.654968
252,-0.706763
253,-0.746517
254,-0.78627
255,-0.826024
256,-0.865778
257,-0.890783
258,-0.915787
259,-0.940791
260,-0.965796
261,-0.974347
262,-0.982898
263,-0.991449
264,-1
265,-0.991515
266,-0.98303
267,-0.974545
268,-0.96606
269,-0.941117
270,-0.916174
271,-0.891231
272,-0.866288
273,-0.826587
274,-0.786886
275,-0.747184
276,-0.707483
277,-0.65573
278,-0.603976
279,-0.552222
280,-0.500468
281,-0.440188
282,-0.379908
283,-0.319628
284,-0.259349
285,-0.19465
286,-0.129952
287,-0.0652541
288,-0.000555922
289,0.0641517
290,0.128859
291,0.193567
292,0.258275
293,0.318582
294,0.37889
295,0.439197
296,0.499505
297,0.551303
298,0.603101
299,0.654899
300,0.706697
301,0.746456
302,0.786215
303,0.825973
304,0.865732
305,0.890742
306,0.915752
307,0.940762
308,0.965772
309,0.974329
310,0.982886
311,0.991443
312,1
313,0.991521
314,0.983042
315,0.974563
316,0.966084
317,0.941146
318,0.916209
319,0.891271
320,0.866334
321,0.826638
322,0.786941
323,0.747245
324,0.707549
325,0.655799
326,0.604049
327,0.552298
328,0.500548
329,0.440271
330,0.379993
331,0.319716
