Index,Value
0,0
1,0.258812
2,0.499987
3,0.70709
4,0.86601
5,0.965916
6,1
7,0.96594
8,0.866056
9,0.707156
10,0.500067
11,0.258901
12,9.26536e-005
13,-0.258722
14,-0.499906
15,-0.707025
16,-0.865964
17,-0.965892
18,-1
19,-0.965964
20,-0.866103
21,-0.707221
22,-0.500147
23,-0.258991
24,-0.000185307
25,0.258633
26,0.499826
27,0.706959
28,0.865917
29,0.965868
30,1
31,0.965988
32,0.866149
33,0.707287
34,0.500227
35,0.25908
36,0.000277961
37,-0.258543
38,-0.499746
39,-0.706894
40,-0.865871
41,-0.965844
42,-1
43,-0.966012
44,-0.866195
45,-0.707352
46,-0.500308
47,-0.25917
48,-0.000370614
49,0.258454
50,0.499666
51,0.706828
52,0.865825
53,0.96582
54,1
55,0.966036
56,0.866242
57,0.707418
58,0.500388
59,0.259259
60,0.000463268
61,-0.258364
62,-0.499585
63,-0.706763
64,-0.865778
65,-0.965796
66,-1
67,-0.96606
68,-0.866288
69,-0.707483
70,-0.500468
71,-0.259349
72,-0.000555922
73,0.258275
74,0.499505
75,0.706697
76,0.865732
77,0.965772
78,1
79,0.966084
80,0.866334
81,0.707549
82,0.500548
83,0.259438
84,0.000648575
85,-0.258185
86,-0.499425
87,-0.706632
88,-0.865685
89,-0.965748
90,-1
91,-0.966107
92,-0.86638
93,-0.707614
94,-0.500628
95,-0.259527
96,-0.000741229
97,0.258096
98,0.499345
99,0.706566
100,0.865639
101,0.965724
102,1
103,0.966131
104,0.866427
105,0.70768
106,0.500709
107,0.259617
108,0.000833882
109,-0.258006
110,-0.499264
111,-0.7065
112,-0.865593
113,-0.9657
114,-1
115,-0.966155
116,-0.866473
117,-0.707745
118,-0.500789
119,-0.259706
120,-0.000926536
121,0.257917
122,0.499184
123,0.706435
124,0.865546
125,0.965676
126,1
127,0.966179
128,0.866519
129,0.707811
130,0.500869
131,0.259796
132,0.00101919
133,-0.257827
134,-0.499104
135,-0.706369
136,-0.8655
137,-0.965652
138,-0.999999
139,-0.966203
140,-0.866565
141,-0.707876
142,-0.500949
143,-0.259885
144,-0.00111184
145,0.257737
146,0.499023
147,0.706304
148,0.865453
149,0.965627
150,0.999999
151,0.966227
152,0.866612
153,0.707942
154,0.501029
155,0.259975
156,0.0012045
157,-0.257648
158,-0.498943
159,-0.706238
160,-0.865407
161,-0.965603
162,-0.999999
163,-0.966251
164,-0.866658
165,-0.708007
166,-0.50111
167,-0.260064
168,-0.00129715
169,0.257558
170,0.498863
171,0.706173
172,0.865361
173,0.965579
174,0.999999
175,0.966275
176,0.866704
177,0.708072
178,0.50119
179,0.260154
180,0.0013898
181,-0.257469
182,-0.498783
183,-0.706107
184,-0.865314
185,-0.965555
186,-0.999999
187,-0.966299
188,-0.86675
189,-0.708138
190,-0.50127
191,-0.260243
192,-0.00148246
193,0.257379
194,0.498702
195,0.706041
196,0.865268
197,0.965531
198,0.999999
199,0.966322
200,0.866796
201,0.708203
202,0.50135
203,0.260333
204,0.00157511
205,-0.25729
206,-0.498622
207,-0.705976
208,-0.865221
209,-0.965507
210,-0.999999
211,-0.966346
212,-0.866843
213,-0.708269
214,-0.50143
215,-0.260422
216,-0.00166776
217,0.2572
218,0.498542
219,0.70591
220,0.865175
221,0.965483
222,0.999999
223,0.96637
224,0.866889
225,0.708334
226,0.50151
227,0.260512
228,0.00176042
229,-0.257111
230,-0.498461
231,-0.705844
232,-0.865128
233,-0.965459
234,-0.999998
235,-0.966394
236,-0.866935
237,-0.7084
238,-0.501591
239,-0.260601
240,-0.00185307
241,0.257021
242,0.498381
243,0.705779
244,0.865082
245,0.965434
246,0.999998
247,0.966418
248,0.866981
249,0.708465
250,0.501671
251,0.260691
252,0.00194572
253,-0.256932
254,-0.498301
255,-0.705713
256,-0.865035
257,-0.96541
258,-0.999998
259,-0.966441
260,-0.867027
261,-0.70853
262,-0.501751
263,-0.26078
264,-0.00203838
265,0.256842
266,0.49822
267,0.705648
268,0.864989
269,0.965386
270,0.999998
271,0.966465
272,0.867074
273,0.708596
274,0.501831
275,0.260869
276,0.00213103
277,-0.256753
278,-0.49814
279,-0.705582
280,-0.864942
281,-0.965362
282,-0.999998
283,-0.966489
284,-0.86712
285,-0.708661
286,-0.501911
287,-0.260959
