Index,Value
0,0
1,0
2,0
3,0
4,0.258812
5,0.258812
6,0.258812
7,0.258812
8,0.499987
9,0.499987
10,0.499987
11,0.499987
12,0.70709
13,0.70709
14,0.70709
15,0.70709
16,0.86601
17,0.86601
18,0.86601
19,0.86601
20,0.965916
21,0.965916
22,0.965916
23,0.965916
24,1
25,1
26,1
27,1
28,0.96594
29,0.96594
30,0.96594
31,0.96594
32,0.866056
33,0.866056
34,0.866056
35,0.866056
36,0.707156
37,0.707156
38,0.707156
39,0.707156
40,0.500067
41,0.500067
42,0.500067
43,0.500067
44,0.258901
45,0.258901
46,0.258901
47,0.258901
48,9.26536e-005
49,9.26536e-005
50,9.26536e-005
51,9.26536e-005
52,-0.258722
53,-0.258722
54,-0.258722
55,-0.258722
56,-0.499906
57,-0.499906
58,-0.499906
59,-0.499906
60,-0.707025
61,-0.707025
62,-0.707025
63,-0.707025
64,-0.865964
65,-0.865964
66,-0.865964
67,-0.865964
68,-0.965892
69,-0.965892
70,-0.965892
71,-0.965892
72,-1
73,-1
74,-1
75,-1
76,-0.965964
77,-0.965964
78,-0.965964
79,-0.965964
80,-0.866103
81,-0.866103
82,-0.866103
83,-0.866103
84,-0.707221
85,-0.707221
86,-0.707221
87,-0.707221
88,-0.500147
89,-0.500147
90,-0.500147
91,-0.500147
92,-0.258991
93,-0.258991
94,-0.258991
95,-0.258991
96,-0.000185307
97,-0.000185307
98,-0.000185307
99,-0.000185307
100,0.258633
101,0.258633
102,0.258633
103,0.258633
104,0.499826
105,0.499826
106,0.499826
107,0.499826
108,0.706959
109,0.706959
110,0.706959
111,0.706959
112,0.865917
113,0.865917
114,0.865917
115,0.865917
116,0.965868
117,0.965868
118,0.965868
119,0.965868
120,1
121,1
122,1
123,1
124,0.965988
125,0.965988
126,0.965988
127,0.965988
128,0.866149
129,0.866149
130,0.866149
131,0.866149
132,0.707287
133,0.707287
134,0.707287
135,0.707287
136,0.500227
137,0.500227
138,0.500227
139,0.500227
140,0.25908
141,0.25908
142,0.25908
143,0.25908
144,0.000277961
145,0.000277961
146,0.000277961
147,0.000277961
148,-0.258543
149,-0.258543
150,-0.258543
151,-0.258543
152,-0.499746
153,-0.499746
154,-0.499746
155,-0.499746
156,-0.706894
157,-0.706894
158,-0.706894
159,-0.706894
160,-0.865871
161,-0.865871
162,-0.865871
163,-0.865871
164,-0.965844
165,-0.965844
166,-0.965844
167,-0.965844
168,-1
169,-1
170,-1
171,-1
172,-0.966012
173,-0.966012
174,-0.966012
175,-0.966012
176,-0.866195
177,-0.866195
178,-0.866195
179,-0.866195
180,-0.707352
181,-0.707352
182,-0.707352
183,-0.707352
184,-0.500308
185,-0.500308
186,-0.500308
187,-0.500308
188,-0.25917
189,-0.25917
190,-0.25917
191,-0.25917
192,-0.000370614
193,-0.000370614
194,-0.000370614
195,-0.000370614
196,0.258454
197,0.258454
198,0.258454
199,0.258454
200,0.499666
201,0.499666
202,0.499666
203,0.499666
204,0.706828
205,0.706828
206,0.706828
207,0.706828
208,0.865825
209,0.865825
210,0.865825
211,0.865825
212,0.96582
213,0.96582
214,0.96582
215,0.96582
216,1
217,1
218,1
219,1
220,0.966036
221,0.966036
222,0.966036
223,0.966036
224,0.866242
225,0.866242
226,0.866242
227,0.866242
228,0.707418
229,0.707418
230,0.707418
231,0.707418
232,0.500388
233,0.500388
234,0.500388
235,0.500388
236,0.259259
237,0.259259
238,0.259259
239,0.259259
240,0.000463268
241,0.000463268
242,0.000463268
243,0.000463268
244,-0.258364
245,-0.258364
246,-0.258364
247,-0.258364
248,-0.499585
249,-0.499585
250,-0.499585
251,-0.499585
252,-0.706763
253,-0.706763
254,-0.706763
255,-0.706763
256,-0.865778
257,-0.865778
258,-0.865778
259,-0.865778
260,-0.965796
261,-0.965796
262,-0.965796
263,-0.965796
264,-1
265,-1
266,-1
267,-1
268,-0.96606
269,-0.96606
270,-0.96606
271,-0.96606
272,-0.866288
273,-0.866288
274,-0.866288
275,-0.866288
276,-0.707483
277,-0.707483
278,-0.707483
279,-0.707483
280,-0.500468
281,-0.500468
282,-0.500468
283,-0.500468
284,-0.259349
285,-0.259349
286,-0.259349
287,-0.259349
288,-0.000555922
289,-0.000555922
290,-0.000555922
