time,signal
0,-0.000977517
0.0208333,0.0635386
0.0416667,0.13001
0.0625,0.194526
0.0833333,0.257087
0.104167,0.319648
0.125,0.382209
0.145833,0.44086
0.166667,0.499511
0.1875,0.554252
0.208333,0.607038
0.229167,0.657869
0.25,0.706745
0.270833,0.751711
0.291667,0.792766
0.3125,0.829912
0.333333,0.865103
0.354167,0.896383
0.375,0.923754
0.395833,0.945259
0.416667,0.964809
0.4375,0.98045
0.458333,0.990225
0.479167,0.99609
0.5,0.998045
0.520833,0.99609
0.541667,0.990225
0.5625,0.98045
0.583333,0.964809
0.604167,0.945259
0.625,0.923754
0.645833,0.896383
0.666667,0.865103
0.6875,0.829912
0.708333,0.792766
0.729167,0.751711
0.75,0.706745
0.770833,0.657869
0.791667,0.607038
0.8125,0.554252
0.833333,0.499511
0.854167,0.44086
0.875,0.382209
0.895833,0.319648
0.916667,0.257087
0.9375,0.194526
0.958333,0.13001
0.979167,0.0635386
1,-0.000977517
1.02083,-0.0654936
1.04167,-0.131965
1.0625,-0.196481
1.08333,-0.259042
1.10417,-0.321603
1.125,-0.384164
1.14583,-0.442815
1.16667,-0.501466
1.1875,-0.556207
1.20833,-0.608993
1.22917,-0.659824
1.25,-0.7087
1.27083,-0.753666
1.29167,-0.794721
1.3125,-0.831867
1.33333,-0.867058
1.35417,-0.898338
1.375,-0.925709
1.39583,-0.947214
1.41667,-0.966764
1.4375,-0.982405
1.45833,-0.99218
1.47917,-0.998045
1.5,-1
1.52083,-0.998045
1.54167,-0.99218
1.5625,-0.982405
1.58333,-0.966764
1.60417,-0.947214
1.625,-0.925709
1.64583,-0.898338
1.66667,-0.867058
1.6875,-0.831867
1.70833,-0.794721
1.72917,-0.753666
1.75,-0.7087
1.77083,-0.659824
1.79167,-0.608993
1.8125,-0.556207
1.83333,-0.501466
1.85417,-0.442815
1.875,-0.384164
1.89583,-0.321603
1.91667,-0.259042
1.9375,-0.196481
1.95833,-0.131965
1.97917,-0.0654936
2,-0.000977517
2.02083,0.0635386
2.04167,0.13001
2.0625,0.194526
2.08333,0.257087
2.10417,0.319648
2.125,0.382209
2.14583,0.44086
2.16667,0.499511
2.1875,0.554252
2.20833,0.607038
2.22917,0.657869
2.25,0.706745
2.27083,0.751711
2.29167,0.792766
2.3125,0.829912
2.33333,0.865103
2.35417,0.896383
2.375,0.923754
2.39583,0.945259
2.41667,0.964809
2.4375,0.98045
2.45833,0.990225
2.47917,0.99609
2.5,0.998045
2.52083,0.99609
2.54167,0.990225
2.5625,0.98045
2.58333,0.964809
2.60417,0.945259
2.625,0.923754
2.64583,0.896383
2.66667,0.865103
2.6875,0.829912
2.70833,0.792766
2.72917,0.751711
2.75,0.706745
2.77083,0.657869
2.79167,0.607038
2.8125,0.554252
2.83333,0.499511
2.85417,0.44086
2.875,0.382209
2.89583,0.319648
2.91667,0.257087
2.9375,0.194526
2.95833,0.13001
2.97917,0.0635386
3,-0.000977517
3.02083,-0.0654936
3.04167,-0.131965
3.0625,-0.196481
3.08333,-0.259042
3.10417,-0.321603
3.125,-0.384164
3.14583,-0.442815
3.16667,-0.501466
3.1875,-0.556207
3.20833,-0.608993
3.22917,-0.659824
3.25,-0.7087
3.27083,-0.753666
3.29167,-0.794721
3.3125,-0.831867
3.33333,-0.867058
3.35417,-0.898338
3.375,-0.925709
3.39583,-0.947214
3.41667,-0.966764
3.4375,-0.982405
3.45833,-0.99218
3.47917,-0.998045
3.5,-1
3.52083,-0.998045
3.54167,-0.99218
3.5625,-0.982405
3.58333,-0.966764
3.60417,-0.947214
3.625,-0.925709
3.64583,-0.898338
3.66667,-0.867058
3.6875,-0.831867
3.70833,-0.794721
3.72917,-0.753666
3.75,-0.7087
3.77083,-0.659824
3.79167,-0.608993
3.8125,-0.556207
3.83333,-0.501466
3.85417,-0.442815
3.875,-0.384164
3.89583,-0.321603
3.91667,-0.259042
3.9375,-0.196481
3.95833,-0.131965
3.97917,-0.0654936
4,-0.000977517
4.02083,0.0635386
4.04167,0.13001
4.0625,0.194526
4.08333,0.257087
4.10417,0.319648
4.125,0.382209
4.14583,0.44086
4.16667,0.499511
4.1875,0.554252
4.20833,0.607038
4.22917,0.657869
4.25,0.706745
4.27083,0.751711
4.29167,0.792766
4.3125,0.829912
4.33333,0.865103
4.35417,0.896383
4.375,0.923754
4.39583,0.945259
4.41667,0.964809
4.4375,0.98045
4.45833,0.990225
4.47917,0.99609
4.5,0.998045
4.52083,0.99609
4.54167,0.990225
4.5625,0.98045
4.58333,0.964809
4.60417,0.945259
4.625,0.923754
4.64583,0.896383
4.66667,0.865103
4.6875,0.829912
4.70833,0.792766
4.72917,0.751711
4.75,0.706745
4.77083,0.657869
4.79167,0.607038
4.8125,0.554252
4.83333,0.499511
4.85417,0.44086
4.875,0.382209
4.89583,0.319648
4.91667,0.257087
4.9375,0.194526
4.95833,0.13001
4.97917,0.0635386
5,-0.000977517
5.02083,-0.0654936
5.04167,-0.131965
5.0625,-0.196481
5.08333,-0.259042
5.10417,-0.321603
5.125,-0.384164
5.14583,-0.442815
5.16667,-0.501466
5.1875,-0.556207
5.20833,-0.608993
5.22917,-0.659824
5.25,-0.7087
5.27083,-0.753666
5.29167,-0.794721
5.3125,-0.831867
5.33333,-0.867058
5.35417,-0.898338
5.375,-0.925709
5.39583,-0.947214
5.41667,-0.966764
5.4375,-0.982405
5.45833,-0.99218
5.47917,-0.998045
5.5,-1
5.52083,-0.998045
5.54167,-0.99218
5.5625,-0.982405
5.58333,-0.966764
5.60417,-0.947214
5.625,-0.925709
5.64583,-0.898338
5.66667,-0.867058
5.6875,-0.831867
5.70833,-0.794721
5.72917,-0.753666
5.75,-0.7087
5.77083,-0.659824
5.79167,-0.608993
5.8125,-0.556207
5.83333,-0.501466
5.85417,-0.442815
5.875,-0.384164
5.89583,-0.321603
5.91667,-0.259042
5.9375,-0.196481
5.95833,-0.131965
5.97917,-0.0654936
