time,signal
0,-0.000977517
0.0208333,0.0400782
0.0416667,0.083089
0.0625,0.124145
0.0833333,0.1652
0.104167,0.208211
0.125,0.249267
0.145833,0.290323
0.166667,0.331378
0.1875,0.374389
0.208333,0.415445
0.229167,0.4565
0.25,0.499511
0.270833,0.540567
0.291667,0.581623
0.3125,0.624633
0.333333,0.665689
0.354167,0.706745
0.375,0.749756
0.395833,0.790811
0.416667,0.831867
0.4375,0.874878
0.458333,0.915934
0.479167,0.956989
0.5,1
0.520833,0.956989
0.541667,0.915934
0.5625,0.874878
0.583333,0.831867
0.604167,0.790811
0.625,0.749756
0.645833,0.706745
0.666667,0.665689
0.6875,0.624633
0.708333,0.581623
0.729167,0.540567
0.75,0.499511
0.770833,0.4565
0.791667,0.415445
0.8125,0.374389
0.833333,0.331378
0.854167,0.290323
0.875,0.249267
0.895833,0.208211
0.916667,0.1652
0.9375,0.124145
0.958333,0.083089
0.979167,0.0400782
1,-0.000977517
1.02083,-0.000977517
1.04167,-0.000977517
1.0625,-0.000977517
1.08333,-0.000977517
1.10417,-0.000977517
1.125,-0.000977517
1.14583,-0.000977517
1.16667,-0.000977517
1.1875,-0.000977517
1.20833,-0.000977517
1.22917,-0.000977517
1.25,-0.000977517
1.27083,-0.000977517
1.29167,-0.000977517
1.3125,-0.000977517
1.33333,-0.000977517
1.35417,-0.000977517
1.375,-0.000977517
1.39583,-0.000977517
1.41667,-0.000977517
1.4375,-0.000977517
1.45833,-0.000977517
1.47917,-0.000977517
1.5,-0.000977517
1.52083,-0.000977517
1.54167,-0.000977517
1.5625,-0.000977517
1.58333,-0.000977517
1.60417,-0.000977517
1.625,-0.000977517
1.64583,-0.000977517
1.66667,-0.000977517
1.6875,-0.000977517
1.70833,-0.000977517
1.72917,-0.000977517
1.75,-0.000977517
1.77083,-0.000977517
1.79167,-0.000977517
1.8125,-0.000977517
1.83333,-0.000977517
1.85417,-0.000977517
1.875,-0.000977517
1.89583,-0.000977517
1.91667,-0.000977517
1.9375,-0.000977517
1.95833,-0.000977517
1.97917,-0.000977517
2,-0.000977517
2.02083,-0.000977517
2.04167,0.0400782
2.0625,0.083089
2.08333,0.124145
2.10417,0.1652
2.125,0.208211
2.14583,0.249267
2.16667,0.290323
2.1875,0.331378
2.20833,0.374389
2.22917,0.415445
2.25,0.4565
2.27083,0.499511
2.29167,0.540567
2.3125,0.581623
2.33333,0.624633
2.35417,0.665689
2.375,0.706745
2.39583,0.749756
2.41667,0.790811
2.4375,0.831867
2.45833,0.874878
2.47917,0.915934
2.5,0.956989
2.52083,1
2.54167,0.956989
2.5625,0.915934
2.58333,0.874878
2.60417,0.831867
2.625,0.790811
2.64583,0.749756
2.66667,0.706745
2.6875,0.665689
2.70833,0.624633
2.72917,0.581623
2.75,0.540567
2.77083,0.499511
2.79167,0.4565
2.8125,0.415445
2.83333,0.374389
2.85417,0.331378
2.875,0.290323
2.89583,0.249267
2.91667,0.208211
2.9375,0.1652
2.95833,0.124145
2.97917,0.083089
3,0.0400782
3.02083,-0.000977517
3.04167,-0.000977517
3.0625,-0.000977517
3.08333,-0.000977517
3.10417,-0.000977517
3.125,-0.000977517
3.14583,-0.000977517
3.16667,-0.000977517
3.1875,-0.000977517
3.20833,-0.000977517
3.22917,-0.000977517
3.25,-0.000977517
3.27083,-0.000977517
3.29167,-0.000977517
3.3125,-0.000977517
3.33333,-0.000977517
3.35417,-0.000977517
3.375,-0.000977517
3.39583,-0.000977517
3.41667,-0.000977517
3.4375,-0.000977517
3.45833,-0.000977517
3.47917,-0.000977517
3.5,-0.000977517
3.52083,-0.000977517
3.54167,-0.000977517
3.5625,-0.000977517
3.58333,-0.000977517
3.60417,-0.000977517
3.625,-0.000977517
3.64583,-0.000977517
3.66667,-0.000977517
3.6875,-0.000977517
3.70833,-0.000977517
3.72917,-0.000977517
3.75,-0.000977517
3.77083,-0.000977517
3.79167,-0.000977517
3.8125,-0.000977517
3.83333,-0.000977517
3.85417,-0.000977517
3.875,-0.000977517
3.89583,-0.000977517
3.91667,-0.000977517
3.9375,-0.000977517
3.95833,-0.000977517
3.97917,-0.000977517
4,-0.000977517
4.02083,-0.000977517
4.04167,-0.000977517
4.0625,0.0400782
4.08333,0.083089
4.10417,0.124145
4.125,0.1652
4.14583,0.208211
4.16667,0.249267
4.1875,0.290323
4.20833,0.331378
4.22917,0.374389
4.25,0.415445
4.27083,0.4565
4.29167,0.499511
4.3125,0.540567
4.33333,0.581623
4.35417,0.624633
4.375,0.665689
4.39583,0.706745
4.41667,0.749756
4.4375,0.790811
4.45833,0.831867
4.47917,0.874878
4.5,0.915934
4.52083,0.956989
4.54167,1
4.5625,0.956989
4.58333,0.915934
4.60417,0.874878
4.625,0.831867
4.64583,0.790811
4.66667,0.749756
4.6875,0.706745
4.70833,0.665689
4.72917,0.624633
4.75,0.581623
4.77083,0.540567
4.79167,0.499511
4.8125,0.4565
4.83333,0.415445
4.85417,0.374389
4.875,0.331378
4.89583,0.290323
4.91667,0.249267
4.9375,0.208211
4.95833,0.1652
4.97917,0.124145
5,0.083089
5.02083,0.0400782
5.04167,-0.000977517
5.0625,-0.000977517
5.08333,-0.000977517
5.10417,-0.000977517
5.125,-0.000977517
5.14583,-0.000977517
5.16667,-0.000977517
5.1875,-0.000977517
5.20833,-0.000977517
5.22917,-0.000977517
5.25,-0.000977517
5.27083,-0.000977517
5.29167,-0.000977517
5.3125,-0.000977517
5.33333,-0.000977517
5.35417,-0.000977517
5.375,-0.000977517
5.39583,-0.000977517
5.41667,-0.000977517
5.4375,-0.000977517
5.45833,-0.000977517
5.47917,-0.000977517
5.5,-0.000977517
5.52083,-0.000977517
5.54167,-0.000977517
5.5625,-0.000977517
5.58333,-0.000977517
5.60417,-0.000977517
5.625,-0.000977517
5.64583,-0.000977517
5.66667,-0.000977517
5.6875,-0.000977517
5.70833,-0.000977517
5.72917,-0.000977517
5.75,-0.000977517
5.77083,-0.000977517
5.79167,-0.000977517
5.8125,-0.000977517
5.83333,-0.000977517
5.85417,-0.000977517
5.875,-0.000977517
5.89583,-0.000977517
5.91667,-0.000977517
5.9375,-0.000977517
5.95833,-0.000977517
5.97917,-0.000977517
